PID,Province,DID,District,Crop,Year,(Area in '000' Hectares),"(Production in ""000""Tonnes)"
1,Balochistan,114,KILLA SAIFULLAH ,Wheat,1989-90,0,0
1,Balochistan,18,Kohlu,Wheat,1989-90,5.3,4.7
1,Balochistan,121,Lasbela,Wheat,1989-90,1.5,2.1
1,Balochistan,111,Loralai,Wheat,1989-90,24.8,37
1,Balochistan,122,Mastung,Wheat,1989-90,0,0
1,Balochistan,112,MUSA KHEL,Wheat,1989-90,0,0
1,Balochistan,118,NASEERABAD,Wheat,1989-90,0,0
1,Balochistan,130,PANJGUR,Wheat,1989-90,0.4,0.5
1,Balochistan,12,Pishin,Wheat,1989-90,24.2,46.1
1,Balochistan,11,Quetta,Wheat,1989-90,2.5,4.9
1,Balochistan,16,Sibi,Wheat,1989-90,13.7,26.4
1,Balochistan,134,Tomboo,Wheat,1989-90,52.2,125.3
1,Balochistan,135,Turbat,Wheat,1989-90,1.1,1.8
1,Balochistan,115,Zhob,Wheat,1989-90,7.2,12.3
1,Balochistan,110,Ziarat,Wheat,1989-90,0,0
1,Balochistan,125,Awaran,Wheat,1990-91,0,0
1,Balochistan,113,Barkhan,Wheat,1990-91,0,0
1,Balochistan,119,Bolan,Wheat,1990-91,0,0
1,Balochistan,15,Chagai,Wheat,1990-91,2.8,4.4
1,Balochistan,19,DERA BUGTI,Wheat,1990-91,0.5,0.6
1,Balochistan,129,Gwadar,Wheat,1990-91,0,0
1,Balochistan,117,JAFARABAD,Wheat,1990-91,71.5,178.8
1,Balochistan,120,JHAL MAGSI,Wheat,1990-91,0,0
1,Balochistan,128,KACHHI,Wheat,1990-91,17.5,34.1
1,Balochistan,123,Kalat,Wheat,1990-91,26.3,45.8
1,Balochistan,126,Kharan,Wheat,1990-91,5.8,5.8
1,Balochistan,124,Khuzdar,Wheat,1990-91,44.6,68.9
1,Balochistan,13,KILLA ABDULLAH,Wheat,1990-91,0,0
1,Balochistan,114,KILLA SAIFULLAH ,Wheat,1990-91,4.9,11.2
