Year,PID,Province,DID,District,Livestock,Livestock Type,Sex,Farm Type,NUMBER OF FARMS,NUMBER OF ANIMALS
1996,1,Balochistan,113,BARKHAN,Sheep,MALE SHEEP 1 YEAR AND OVER,M,FARM HOUSEHOLDS,2206,14043
1996,1,Balochistan,113,BARKHAN,Sheep,MALE SHEEP 1 YEAR AND OVER,M,NON-FARM HOUSEHOLDS,473,6595
1996,1,Balochistan,113,BARKHAN,Sheep,MALE SHEEP 1 YEAR AND OVER,M,Other,3,3
1996,1,Balochistan,113,BARKHAN,Sheep,FEMALE SHEEP 1 YEAR AND OVER,F,FARM HOUSEHOLDS,3466,58162
1996,1,Balochistan,113,BARKHAN,Sheep,FEMALE SHEEP 1 YEAR AND OVER,F,NON-FARM HOUSEHOLDS,546,16397
1996,1,Balochistan,113,BARKHAN,Sheep,FEMALE SHEEP 1 YEAR AND OVER,F,Other,3,6
1996,1,Balochistan,113,BARKHAN,Sheep,YOUNGSTOCK UNDER 1 YEAR,,FARM HOUSEHOLDS,3029,29661
1996,1,Balochistan,113,BARKHAN,Sheep,YOUNGSTOCK UNDER 1 YEAR,,NON-FARM HOUSEHOLDS,496,11514
1996,1,Balochistan,113,BARKHAN,Sheep,YOUNGSTOCK UNDER 1 YEAR,,Other,3,3
1996,1,Balochistan,113,BARKHAN,Camel,CAMELS 3 YEARS AND OVER,,FARM HOUSEHOLDS,419,85480
1996,1,Balochistan,113,BARKHAN,Camel,CAMELS 3 YEARS AND OVER,,NON-FARM HOUSEHOLDS,38,84
1996,1,Balochistan,113,BARKHAN,Camel,CAMELS 3 YEARS AND OVER,,Other,2,3
1996,1,Balochistan,113,BARKHAN,Camel,CAMELS UNDER 3 YEARS,,FARM HOUSEHOLDS,255,927
1996,1,Balochistan,113,BARKHAN,Camel,CAMELS UNDER 3 YEARS,,NON-FARM HOUSEHOLDS,26,60
1996,1,Balochistan,113,BARKHAN,Camel,CAMELS UNDER 3 YEARS,,Other,2,3
1996,1,Balochistan,113,BARKHAN,Horses,,,FARM HOUSEHOLDS,228,719
1996,1,Balochistan,113,BARKHAN,Horses,,,NON-FARM HOUSEHOLDS,30,95
1996,1,Balochistan,113,BARKHAN,Horses,,,Other,55,1636
1996,1,Balochistan,113,BARKHAN,Mules,,,FARM HOUSEHOLDS,17,591
1996,1,Balochistan,113,BARKHAN,Mules,,,NON-FARM HOUSEHOLDS,,
1996,1,Balochistan,113,BARKHAN,Mules,,,Other,602,1723
1996,1,Balochistan,113,BARKHAN,Donkeys,,,FARM HOUSEHOLDS,59,287
1996,1,Balochistan,113,BARKHAN,Donkeys,,,NON-FARM HOUSEHOLDS,16,16
1996,1,Balochistan,113,BARKHAN,Donkeys,,,Other,,
1996,1,Balochistan,13,KILLA ABDULLAH,Cattle,BULLS AND BULLOCKS 3 YEARS AND OVER,M,FARM HOUSEHOLDS,1926,2252
1996,1,Balochistan,119,BOLAN,Cattle,BULLS AND BULLOCKS 3 YEARS AND OVER,M,NON-FARM HOUSEHOLDS,11964,19300
1996,1,Balochistan,119,BOLAN,Cattle,BULLS AND BULLOCKS 3 YEARS AND OVER,M,Other,,
1996,1,Balochistan,119,BOLAN,Cattle,COWS 3 YEARS AND OVER,F,FARM HOUSEHOLDS,12224,37166
